task,architecture,ok,score,correctness,groundedness,hallucination_rate,elapsed_seconds,tool_recall,tool_precision,total_tool_calls,distractor_call_count,fabricated_call_count,error
adi-monthly-trend,enterprise-mcp-react,False,0.0,0.0,0.0,1.0,180,,,,,,TIMEOUT: exceeded 180s wall clock
adi-monthly-trend,enterprise-react,False,0.0,0.0,0.0,1.0,32.59,,,,,,UsageLimitExceeded: The next request would exceed the request_limit of 50
adi-monthly-trend,enterprise-sql-codemode,True,0.8125,1.0,0.6842,0.3158,21.24,,,,,,
adi-monthly-trend,enterprise-sql-react,True,0.5597,0.9615,0.3947,0.6053,36.55,,,,,,
adi-monthly-trend,minimal,True,0.0,0.0,0.0,1.0,31.84,,,,,,
adi-monthly-trend,smolagents-codeagent,True,0.1111,0.1538,0.087,0.913,31.99,1.0,0.6667,3,0,0,
adi-portfolio-depth,enterprise-codemode,True,0.2439,0.4545,0.1667,0.8333,14.02,,,,,,
adi-portfolio-depth,enterprise-mcp-codemode,True,1.0,1.0,1.0,0.0,15.15,,,,,,
adi-portfolio-depth,enterprise-mcp-react,True,0.2439,0.4545,0.1667,0.8333,22.34,,,,,,
adi-portfolio-depth,enterprise-react,True,1.0,1.0,1.0,0.0,33.82,,,,,,
adi-portfolio-depth,enterprise-sql-codemode,True,0.6667,1.0,0.5,0.5,84.61,,,,,,
adi-portfolio-depth,enterprise-sql-react,False,0.0,0.0,0.0,1.0,13.08,,,,,,SQLError: You can only execute one statement at a time.
adi-portfolio-depth,minimal,True,0.0,0.3636,0.0,1.0,25.6,,,,,,
adi-portfolio-depth,smolagents-codeagent,True,0.2439,0.4545,0.1667,0.8333,81.13,1.0,1.0,13,0,0,
adi-top-modules,enterprise-codemode,False,0.0,0.0,0.0,1.0,3.19,,,,,,UnexpectedModelBehavior: Tool 'get_top_selling_products' exceeded max retries count of 1
adi-top-modules,enterprise-mcp-codemode,False,0.0,0.0,0.0,1.0,2.98,,,,,,UnexpectedModelBehavior: Tool 'tool_get_top_selling_products' exceeded max retries count of 1
adi-top-modules,enterprise-mcp-react,True,1.0,1.0,1.0,0.0,5.32,,,,,,
adi-top-modules,enterprise-react,True,1.0,1.0,1.0,0.0,4.07,,,,,,
adi-top-modules,enterprise-sql-codemode,True,1.0,1.0,1.0,0.0,19.69,,,,,,
adi-top-modules,enterprise-sql-react,True,0.6,0.75,0.5,0.5,15.88,,,,,,
adi-top-modules,minimal,True,0.0,0.05,0.0,1.0,26.61,,,,,,
adi-top-modules,smolagents-codeagent,True,1.0,1.0,1.0,0.0,21.1,1.0,1.0,1,0,0,
adi-user-lookup,enterprise-codemode,True,0.8571,1.0,0.75,0.25,10.74,,,,,,
adi-user-lookup,enterprise-mcp-codemode,True,0.8571,1.0,0.75,0.25,8.7,,,,,,
adi-user-lookup,enterprise-mcp-react,True,0.9231,1.0,0.8571,0.1429,7.32,,,,,,
adi-user-lookup,enterprise-react,True,0.6,1.0,0.4286,0.5714,9.92,,,,,,
adi-user-lookup,enterprise-sql-codemode,True,0.4762,0.8333,0.3333,0.6667,17.7,,,,,,
adi-user-lookup,enterprise-sql-react,True,0.5,1.0,0.3333,0.6667,26.15,,,,,,
adi-user-lookup,minimal,True,0.1052,0.0833,0.1429,0.8571,41.12,,,,,,
adi-user-lookup,smolagents-codeagent,True,0.9231,1.0,0.8571,0.1429,9.34,1.0,0.6667,3,0,0,
